positionID,maternalID,paternalID,position,row,block,Germ,flw,total.pods,total.pods.collected,totalseeds,cohort,year,seedpool
326,12,63,30.8,222,2A,1,1,0,0,0,greenhouse,2015,NA
327,12,63,30.9,222,2A,1,0,0,0,0,greenhouse,2015,NA
328,12,63,31,222,2A,1,0,0,0,0,greenhouse,2015,NA
329,12,63,31.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
330,12,63,31.2,222,2A,1,1,0,0,0,greenhouse,2015,NA
331,100,81,32.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
332,100,81,32.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
333,100,81,33,222,2A,0,0,0,0,0,greenhouse,2015,NA
334,100,81,33.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
335,100,81,33.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
336,52,126,34.8,222,2A,1,0,0,0,0,greenhouse,2015,NA
337,52,126,34.9,222,2A,1,0,0,0,0,greenhouse,2015,NA
338,52,126,35,222,2A,1,0,0,0,0,greenhouse,2015,NA
339,52,126,35.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
340,52,126,35.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
341,69,37,36.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
342,69,37,36.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
343,69,37,37,222,2A,0,0,0,0,0,greenhouse,2015,NA
344,69,37,37.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
345,69,37,37.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
346,195,152,38.8,222,2A,1,0,0,0,0,greenhouse,2015,NA
347,195,152,38.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
348,195,152,39,222,2A,1,1,1,1,0,greenhouse,2015,NA
349,195,152,39.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
350,195,152,39.2,222,2A,1,1,3,3,13,greenhouse,2015,NA
351,29,58,40.8,222,2A,1,1,20,3,14,greenhouse,2015,NA
352,29,58,40.9,222,2A,1,1,0,0,0,greenhouse,2015,NA
353,29,58,41,222,2A,1,1,0,0,0,greenhouse,2015,NA
354,29,58,41.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
355,29,58,41.2,222,2A,1,1,0,0,0,greenhouse,2015,NA
356,24,34,42.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
357,24,34,42.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
358,24,34,43,222,2A,0,0,0,0,0,greenhouse,2015,NA
359,24,34,43.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
360,24,34,43.2,222,2A,1,1,0,0,0,greenhouse,2015,NA
361,4,34,44.8,222,2A,1,1,0,0,0,greenhouse,2015,NA
362,4,34,44.9,222,2A,1,1,0,0,0,greenhouse,2015,NA
363,4,34,45,222,2A,1,1,0,0,0,greenhouse,2015,NA
364,4,34,45.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
365,4,34,45.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
366,22,15,46.8,222,2A,1,1,0,0,0,greenhouse,2015,NA
367,22,15,46.9,222,2A,1,1,0,0,0,greenhouse,2015,NA
368,22,15,47,222,2A,0,0,0,0,0,greenhouse,2015,NA
369,22,15,47.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
370,22,15,47.2,222,2A,1,1,0,0,0,greenhouse,2015,NA
371,77,38,48.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
372,77,38,48.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
373,77,38,49,222,2A,0,0,0,0,0,greenhouse,2015,NA
374,77,38,49.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
